Edad,Frecuencia_Compras,Monto_Promedio,Tiempo_Cliente,Satisfaccion
56,0,691.5172778022632,30,Bajo
69,9,166.86791577895536,7,Bajo
46,3,789.8000719323966,22,Bajo
32,8,317.9263005877336,57,Medio
60,12,333.62433042505046,50,Medio
25,13,20.690408465616848,45,Bajo
38,9,704.0011544240903,10,Medio
56,5,122.13705553403892,56,Bajo
36,15,775.151771688883,8,Medio
40,5,496.94914369803473,27,Medio
28,16,786.4370168050234,10,Medio
28,9,588.0872738057639,14,Medio
41,17,91.60893929880085,46,Bajo
53,17,767.9958133381313,59,Alto
57,2,79.10149004580225,52,Bajo
41,19,483.9147033636389,54,Medio
20,14,180.62572200351366,11,Bajo
39,14,754.8118261981061,6,Medio
19,3,912.4753155280653,21,Bajo
41,8,558.5849017246915,33,Medio
61,18,531.8758213561887,19,Alto
47,16,766.3235643623617,39,Alto
55,10,15.028024845969938,24,Bajo
19,8,918.5810562088091,18,Medio
38,9,205.4743289202204,35,Medio
50,17,984.2776949879749,52,Alto
29,19,738.8914084808575,43,Alto
39,12,776.5086362236643,37,Alto
61,7,659.6409505698705,19,Medio
42,6,476.94655095730866,53,Medio
66,16,575.9114164275538,24,Alto
44,14,55.9388571549744,56,Bajo
59,19,627.7199143376941,34,Alto
45,14,629.8371209671762,22,Alto
33,0,892.2887894277914,4,Bajo
32,13,510.5997938559172,57,Alto
64,4,86.3729303452004,10,Bajo
68,10,313.1339612772604,2,Medio
61,15,659.0731179931743,8,Medio
69,1,246.86627412394927,33,Bajo
20,7,287.7225436368469,59,Medio
54,10,822.2643261972449,38,Alto
68,17,588.4765344450819,43,Alto
24,2,513.4421574558368,59,Bajo
38,0,325.2674471377463,28,Bajo
26,10,733.618755573703,10,Medio
56,15,294.84125014512904,45,Medio
35,17,739.6928824677335,1,Medio
21,15,79.40046546476759,34,Bajo
42,9,865.8959281662628,3,Medio
31,17,504.57079874217345,9,Medio
67,5,444.1229365319803,5,Medio
26,18,614.9131774265053,42,Alto
43,3,627.9501521673077,10,Bajo
19,12,140.7148251210956,12,Bajo
37,13,758.6712539180511,18,Alto
45,2,283.1690149705623,58,Bajo
64,9,905.9122613682148,21,Medio
24,5,819.6721567806842,21,Medio
61,0,352.803381119401,1,Bajo
25,13,809.6619002687073,3,Medio
64,7,362.8265943069051,5,Medio
52,18,109.93820481968021,25,Bajo
31,13,962.2693563384508,58,Alto
34,9,656.0759950632856,49,Medio
53,16,461.5385313959658,8,Medio
67,8,403.79561801572925,17,Medio
57,5,331.4582809156813,9,Medio
21,10,981.633119474838,32,Alto
19,6,143.39979247959832,6,Bajo
23,16,321.65700833136265,49,Medio
59,0,490.6426638798369,40,Bajo
21,4,483.2195496037683,21,Bajo
46,8,476.65281956376504,7,Medio
35,17,184.025977672078,7,Bajo
43,1,153.48320183840553,47,Bajo
61,10,262.2199104653339,39,Medio
51,5,915.3808922640354,54,Medio
27,7,121.92243815616503,27,Bajo
53,3,759.8508523395916,8,Bajo
31,17,759.9729092020376,9,Medio
48,10,811.6726998582897,28,Alto
65,4,887.749334099462,15,Bajo
32,14,270.40581576354094,2,Medio
25,17,232.3138745762074,7,Medio
31,1,470.8506098622049,47,Bajo
40,10,272.4382770645158,18,Medio
57,12,736.9668890932764,22,Alto
38,3,639.5801809740193,50,Bajo
33,6,876.237811172125,10,Medio
62,10,91.91092045220084,54,Bajo
35,3,915.9325000244941,50,Bajo
64,14,300.41514040338865,33,Medio
41,0,495.7874024677142,7,Bajo
43,2,444.2253215802472,3,Bajo
42,13,762.7085345933797,14,Alto
62,5,426.1299763375241,44,Medio
58,17,944.1176141929153,46,Alto
46,0,903.5085438121897,36,Bajo
32,5,873.4395404498115,13,Medio
62,5,80.54574932174562,16,Bajo
18,15,855.7154809384001,16,Alto
42,4,783.8190909887784,54,Bajo
24,16,112.4778175360697,5,Bajo
26,9,116.34018218185965,52,Bajo
41,17,110.15217340236576,25,Bajo
18,6,21.219267272442664,38,Bajo
61,2,553.1479621426378,38,Bajo
25,12,973.6603485216829,50,Alto
41,14,444.2978558707956,38,Medio
28,19,545.3499268684828,39,Alto
68,18,968.290098802256,56,Alto
34,2,262.63040648648837,56,Bajo
25,3,859.8855500722804,48,Bajo
52,4,550.9265625396188,41,Bajo
52,0,573.7817495163806,26,Bajo
50,3,349.7421186352107,59,Bajo
22,11,565.9685173572391,13,Alto
59,9,82.41108438350109,44,Bajo
56,19,766.9971368879711,51,Alto
58,12,291.84088392882893,26,Medio
45,13,888.7322461990154,55,Alto
24,4,374.1721876613839,55,Bajo
26,3,151.39586938201376,1,Bajo
25,13,698.9227586248002,8,Medio
29,9,172.93236326636782,4,Bajo
51,16,756.1437103875605,21,Alto
50,9,968.4311140420554,22,Medio
